4NEC2 Output file:,/home/joea/.wine/drive_c/4nec2/out/owa_yagi_6el_circ.out
Zo:,50

THETA,PHI,VERT.,HOR.,TOTAL,AXIAL,TILT,SENSE,MAGNITUDE,PHASE,MAGNITUDE,PHASE
DEGREES,DEGREES,DB,DB,DB,RATIO,DEG.,VOLTS/M,DEGREES,VOLTS/M,DEGREES
-75.00,20.00,-19.59,-16.35,-14.66,0.63166,73.11,RIGHT,8.12394E-02,-146.03,1.18033E-01,138.78
-70.00,20.00,-19.45,-16.18,-14.51,0.57446,67.77,RIGHT,8.25821E-02,-134.41,1.20320E-01,157.81
-65.00,20.00,-18.90,-15.78,-14.05,0.51880,63.37,RIGHT,8.80160E-02,-122.81,1.26056E-01,176.63
-60.00,20.00,-18.03,-15.13,-13.33,0.46953,60.15,RIGHT,9.72557E-02,-109.44,1.35831E-01,-163.80
-55.00,20.00,-17.04,-14.30,-12.45,0.42560,58.07,RIGHT,1.08958E-01,-93.57,1.49373E-01,-142.76
-50.00,20.00,-16.08,-13.39,-11.52,0.38394,56.91,RIGHT,1.21701E-01,-75.45,1.65854E-01,-120.00
-45.00,20.00,-15.21,-12.47,-10.62,0.34222,56.36,RIGHT,1.34504E-01,-55.63,1.84375E-01,-95.68
-40.00,20.00,-14.45,-11.58,-9.78,0.29936,56.21,RIGHT,1.46825E-01,-34.77,2.04290E-01,-70.20
-35.00,20.00,-13.80,-10.74,-8.99,0.25501,56.36,RIGHT,1.58268E-01,-13.50,2.25251E-01,-44.10
-30.00,20.00,-13.27,-9.93,-8.28,0.20932,56.79,RIGHT,1.68203E-01,7.61,2.47009E-01,-17.93
-25.00,20.00,-12.90,-9.19,-7.65,0.16305,57.58,RIGHT,1.75481E-01,28.05,2.69046E-01,7.74
-20.00,20.00,-12.76,-8.53,-7.14,0.11771,58.83,RIGHT,1.78402E-01,47.51,2.90224E-01,32.43
-15.00,20.00,-12.93,-8.00,-6.79,0.07554,60.64,RIGHT,1.75027E-01,65.85,3.08614E-01,55.77
-10.00,20.00,-13.51,-7.64,-6.64,0.03943,63.08,RIGHT,1.63752E-01,83.19,3.21622E-01,77.60
-5.00,20.00,-14.62,-7.51,-6.74,0.01289,66.21,RIGHT,1.43991E-01,99.98,3.26445E-01,97.98
0.00,20.00,-16.44,-7.66,-7.12,0.00000,70.00,LINEAR,1.16770E-01,117.26,3.20822E-01,117.26
-180.00,25.00,-14.60,-7.98,-7.12,0.00000,-65.00,LINEAR,1.44285E-01,122.89,3.09421E-01,-57.11
-175.00,25.00,-16.15,-7.83,-7.23,0.01360,-69.03,RIGHT,1.20753E-01,103.95,3.14796E-01,-73.72
-170.00,25.00,-18.15,-7.94,-7.55,0.04585,-73.02,RIGHT,9.59261E-02,83.23,3.10666E-01,-87.43
-165.00,25.00,-20.16,-8.28,-8.00,0.09526,-76.72,RIGHT,7.60789E-02,58.14,2.98982E-01,-98.59
